,@publicID,preferredOriginID,author,region,originID,orig_time,mag,lat,lon,z,lat_e,lon_e,z_e,min_dis,phasecount,stationcount,mag_e,t_e
0,texnet2022tixo,Origin/20221108021329.532086.287257,daniel,Western Texas,Origin/20221108021329.532086.287257,2022-10-03 06:10:08.588488+00:00,1.307502012,31.60385132,-103.9835129,3.405168056,3.298068152,3.111679527,2.770290599,0.1341508478,15.0,8.0,0.1753509909,0.1754547132
1,texnet2022tixq,Origin/20221108021706.493359.70230,daniel,Western Texas,Origin/20221108021706.493359.70230,2022-10-03 06:12:51.838387+00:00,1.399752292,31.60051537,-103.9968033,4.52457571,1.814354638,1.491903548,1.903127646,0.02593728155,21.0,13.0,0.2090636602,0.2599454792
2,texnet2022tixt,Origin/20221108021708.414691.73701,daniel,Western Texas,Origin/20221108021708.414691.73701,2022-10-03 06:15:54.716381+00:00,0.5231265589,31.6893177,-104.4767914,10.06194592,2.071408539,1.933583392,4.753392664,0.02903337963,12.0,7.0,0.1936378222,0.7106953123
3,texnet2022tixs,Origin/20221108021708.452205.73805,daniel,Western Texas,Origin/20221108021708.452205.73805,2022-10-03 06:14:38.228655+00:00,0.2469604634,31.68555069,-104.4944458,11.20367527,2.260811157,2.40884141,6.047626932,0.01770077087,8.0,4.0,0.1056246166,0.6465098861
4,texnet2022tixv,Origin/20221108021708.587275.74210,daniel,Western Texas,Origin/20221108021708.587275.74210,2022-10-03 06:18:21.076725+00:00,1.278854315,31.7574482,-103.872879,4.55481863,1.975788312,1.344544198,1.76365741,0.0342133306,20.0,10.0,0.1783652429,0.2075575278
5,texnet2022tixw,Origin/20221108021708.625887.74449,daniel,Western Texas,Origin/20221108021708.625887.74449,2022-10-03 06:20:06.103031+00:00,0.8121217263,31.57364655,-104.1442947,5.0,5.199162438,5.471552714,fixed,0.1418745667,9.0,5.0,0.1928027803,0.3538317618
6,texnet2022tixx,Origin/20221108021708.746013.75106,daniel,Western Texas,Origin/20221108021708.746013.75106,2022-10-03 06:20:50.748701+00:00,1.35384863,31.60512543,-103.9952164,5.925920963,1.470558514,1.16403147,2.970633461,0.02318479866,32.0,16.0,0.1552984961,0.2972118696
7,texnet2022tixz,Origin/20221108021711.314662.80117,daniel,Western Texas,Origin/20221108021711.314662.80117,2022-10-03 06:22:33.426962+00:00,1.232652244,31.60005188,-104.0016556,5.932707787,1.731709262,1.547159959,3.544430197,0.02995092049,25.0,13.0,0.1819751307,0.5254993685
8,texnet2022tiyd,Origin/20221108021717.271504.89618,daniel,Western Texas,Origin/20221108021717.271504.89618,2022-10-03 06:28:02.690468+00:00,0.7265393678,31.68936539,-104.4868164,4.899949551,2.223161744,1.831120767,1.988538265,0.02384278551,15.0,8.0,0.1081228464,0.2520211038
9,texnet2022tiye,Origin/20221108021717.780333.91311,daniel,Western Texas,Origin/20221108021717.780333.91311,2022-10-03 06:28:56.392758+00:00,0.3459186009,31.68264961,-104.2688293,5.265292168,2.160664228,2.536543503,5.660694715,0.0114848353,8.0,4.0,0.1457635468,0.285268432
10,texnet2022tiyn,Origin/20221108021720.454059.97004,daniel,Western Texas,Origin/20221108021720.454059.97004,2022-10-03 06:39:31.779112+00:00,1.897830685,31.68083954,-104.4100342,4.145141602,1.757685203,1.027843571,1.387441656,0.03091629967,28.0,15.0,0.1437763952,0.2953197203
11,texnet2022tiyr,Origin/20221108021720.730166.97708,daniel,Western Texas,Origin/20221108021720.730166.97708,2022-10-03 06:43:57.957305+00:00,0.3470484136,31.6856842,-104.2998657,3.134408474,2.872319838,1.752928259,2.352058941,0.03293913603,9.0,5.0,0.1097570785,0.3125443692
12,texnet2022tiys,Origin/20221108021721.032864.98701,daniel,Western Texas,Origin/20221108021721.032864.98701,2022-10-03 06:45:15.032740+00:00,1.947319251,31.71484184,-104.2640228,6.326327324,1.591381482,0.9429206539,3.005596821,0.04174733907,29.0,15.0,0.1457906241,0.6283541465
