,@publicID,preferredOriginID,author,region,originID,orig_time,mag,lat,lon,z,lat_e,lon_e,z_e,min_dis,phasecount,stationcount,mag_e,t_e
13,texnet2022tiyw,Origin/20221108021733.208604.115733,daniel,Western Texas,Origin/20221108021733.208604.115733,2022-10-03 06:50:01.328687+00:00,1.822441293,31.609478,-103.9944153,4.539590836,1.333379248,0.9908029102,1.238277784,0.02185469866,38.0,19.0,0.1769961282,0.3041899768
14,texnet2022tiyz,Origin/20221108021734.41693.119575,daniel,Western Texas,Origin/20221108021734.41693.119575,2022-10-03 06:53:41.105666+00:00,1.268356598,31.68699074,-104.0057144,23.17528343,3.087130623,1.650948226,4.044202239,0.02921169251,27.0,17.0,0.217455745,0.9621093004
15,texnet2022tizb,Origin/20221108021734.099332.118656,daniel,Western Texas,Origin/20221108021734.099332.118656,2022-10-03 06:55:21.592426+00:00,0.7787914254,31.62457657,-104.1516571,5.0,6.123151228,3.797059608,fixed,0.1073702946,12.0,8.0,0.1794479081,0.6900202426
16,texnet2022tizc,Origin/20221108021734.464281.119690,daniel,Western Texas,Origin/20221108021734.464281.119690,2022-10-03 06:56:35.038093+00:00,0.7735196327,31.74619484,-104.3378754,2.622438669,4.571224702,2.065140392,2.359699555,0.07162349671,10.0,6.0,0.5420959834,1.47355099
17,texnet2022tize,Origin/20221108021737.412477.129910,daniel,Western Texas,Origin/20221108021737.412477.129910,2022-10-03 06:58:40.283517+00:00,0.4063669671,31.71571732,-104.2869263,4.846827507,2.387116095,1.778428101,2.196624038,0.04779560119,11.0,6.0,0.06924361272,0.1152640785
18,texnet2022tizf,Origin/20221108021738.581401.133822,daniel,Western Texas,Origin/20221108021738.581401.133822,2022-10-03 06:59:41.230752+00:00,0.9776291665,31.60529518,-103.9926376,9.000735283,1.832398921,1.460107251,4.290108531,0.02101165615,20.0,11.0,0.1799810812,0.719682854
19,texnet2022tizk,Origin/20221108021757.104829.166371,daniel,Western Texas,Origin/20221108021757.104829.166371,2022-10-03 07:05:46.596765+00:00,0.9536069207,31.57352638,-104.1057205,5.0,2.067122049,1.536489514,fixed,0.1225522384,21.0,12.0,0.105024144,0.7261372029
20,texnet2022tizn,Origin/20221108021806.893033.183432,daniel,Western Texas,Origin/20221108021806.893033.183432,2022-10-03 07:09:42.265205+00:00,0.631831722,31.724617,-104.2810211,4.930406094,1.892294281,1.461891719,1.870909871,0.03849954158,15.0,8.0,0.2711734971,0.3531393609
21,texnet2022tjam,Origin/20221108021905.51857.285550,daniel,Western Texas,Origin/20221108021905.51857.285550,2022-10-03 07:39:07.204447+00:00,0.9844554563,31.60497856,-103.9946594,5.339887619,1.650528869,1.790262345,3.982233886,0.02276026085,19.0,11.0,0.1812952384,0.3070776727
22,texnet2022tjba,Origin/20221108021933.435259.335806,daniel,Western Texas,Origin/20221108021933.435259.335806,2022-10-03 07:54:44.383089+00:00,0.8909137032,31.68785095,-104.4833298,4.079581738,1.62926942,1.481083644,1.671672203,0.02424733341,18.0,9.0,0.2569888387,0.4089501769
23,texnet2022tjbb,Origin/20221108021933.679071.336703,daniel,Western Texas,Origin/20221108021933.679071.336703,2022-10-03 07:56:18.428716+00:00,0.9845835034,31.6015377,-104.5116882,2.854289293,4.467261647,4.320508073,2.833268857,0.0675438568,18.0,10.0,0.1815414493,0.7131585469
24,texnet2022tjbg,Origin/20221108021941.183994.352390,daniel,Western Texas,Origin/20221108021941.183994.352390,2022-10-03 08:01:55.440664+00:00,0.2467242481,31.6802063,-104.4464722,3.436929703,4.021168723,2.060577884,2.658403489,0.02692743763,8.0,5.0,0.1372509087,0.5153952469
25,texnet2022tjbh,Origin/20221108021949.645493.368299,daniel,Western Texas,Origin/20221108021949.645493.368299,2022-10-03 08:03:41.126187+00:00,1.208684935,31.71007347,-104.2733917,4.316824436,1.507436834,0.9949010553,1.45059928,0.03900400177,26.0,13.0,0.2053414797,0.2915535523
26,texnet2022tjbl,Origin/20221108022001.654076.388785,daniel,Western Texas,Origin/20221108022001.654076.388785,2022-10-03 08:08:06.949863+00:00,0.8317226838,31.665411,-104.3658218,6.057789326,2.491863266,1.580427624,4.65598537,0.05720210075,16.0,8.0,0.2511779431,0.51129298
27,texnet2022tjbp,Origin/20221108022002.651576.391056,daniel,Western Texas,Origin/20221108022002.651576.391056,2022-10-03 08:12:34.373632+00:00,0.7049685985,31.60171509,-104.1222763,3.976608992,6.893224248,4.878215023,2.969461938,0.1402065158,10.0,6.0,0.1341925688,0.3611871542
28,texnet2022tjbs,Origin/20221108022002.710702.391355,daniel,Western Texas,Origin/20221108022002.710702.391355,2022-10-03 08:16:04.349705+00:00,0.4896774419,31.68208122,-104.4582291,3.515567064,1.949105667,1.653075938,1.959804496,0.03413934633,13.0,7.0,0.09536144993,0.3073402667
29,texnet2022tjbu,Origin/20221108022002.756273.391603,daniel,Western Texas,Origin/20221108022002.756273.391603,2022-10-03 08:18:04.739713+00:00,0.2183987344,31.69001198,-104.497551,5.742732525,1.980131343,2.7819621,5.591361788,0.02148326859,8.0,4.0,0.05688344993,0.02056005538
30,texnet2022tjbt,Origin/20221108022002.895738.391947,daniel,Western Texas,Origin/20221108022002.895738.391947,2022-10-03 08:17:25.646119+00:00,0.1456698169,31.68096542,-104.4538879,4.338095665,2.072787666,2.086905151,2.197734,0.03094549291,10.0,5.0,0.1181531459,0.1001463507
31,texnet2022tjbx,Origin/20221108022003.14187.392507,daniel,Western Texas,Origin/20221108022003.14187.392507,2022-10-03 08:21:41.901843+00:00,0.9429675622,31.61151505,-104.0749893,2.324235439,1.842359309,1.436258277,1.758061031,0.07229159772,23.0,13.0,0.1524599309,0.436884996
32,texnet2022tjbz,Origin/20221108022003.242984.393035,daniel,Western Texas,Origin/20221108022003.242984.393035,2022-10-03 08:23:52.394654+00:00,0.834953626,31.67434311,-104.0471649,5.0,5.453163825,2.212622765,fixed,0.1654995829,9.0,6.0,0.2468937754,0.6736958762
33,texnet2022tjcb,Origin/20221108022009.529925.402130,daniel,Western Texas,Origin/20221108022009.529925.402130,2022-10-03 08:26:40.623857+00:00,0.8033931909,31.5333786,-104.1102371,2.184120178,3.91203807,2.266421684,3.257360779,0.1556559354,13.0,8.0,0.09124244189,1.067565945
34,texnet2022tjcl,Origin/20221108022028.480448.444404,daniel,Western Texas,Origin/20221108022028.480448.444404,2022-10-03 08:37:49.726979+00:00,0.5575929483,31.57884598,-104.5877151,5.0,5.078877085,5.447606483,fixed,0.1162554398,10.0,7.0,0.2357457971,1.22871637
35,texnet2022tjcn,Origin/20221108022033.805153.458188,daniel,Western Texas,Origin/20221108022033.805153.458188,2022-10-03 08:40:09.829363+00:00,1.025883599,31.58730698,-104.0121994,11.05740261,3.636683479,2.1269807,7.33600068,0.04374599084,17.0,12.0,0.1787804156,0.6028705909
36,texnet2022tjcm,Origin/20221108022036.11163.461087,daniel,Western Texas,Origin/20221108022036.11163.461087,2022-10-03 08:38:58.576716+00:00,0.4738773417,31.71640587,-104.2855759,4.127000332,2.377142693,1.88057579,2.253453254,0.04743789136,10.0,5.0,0.09752984134,0.1689064273
37,texnet2022tjcs,Origin/20221108022052.722508.484251,daniel,Western Texas,Origin/20221108022052.722508.484251,2022-10-03 08:47:01.855981+00:00,0.770985558,31.7166748,-104.2860489,5.211980343,1.459399551,1.230019624,3.228148729,0.04744202271,21.0,10.0,0.2317844847,0.4099007565
38,texnet2022tjcy,Origin/20221108022057.02728.493508,daniel,Western Texas,Origin/20221108022057.02728.493508,2022-10-03 08:53:51.059028+00:00,0.4400941981,31.66604233,-104.3204498,5.614300728,3.92467809,1.393069487,4.444493974,0.04769186303,14.0,7.0,0.1325294975,0.1199796563
39,texnet2022tjdb,Origin/20221108022057.159749.494208,daniel,Western Texas,Origin/20221108022057.159749.494208,2022-10-03 08:56:42.537672+00:00,0.7471821555,31.59490013,-104.0773468,5.0,9.162829434,4.605068044,fixed,0.126010865,7.0,5.0,0.2292833534,0.3386240303
40,texnet2022tfwo,Origin/20221108004435.706705.439270,daniel,Western Texas,Origin/20221108004435.706705.439270,2022-10-01 14:14:57.109757+00:00,0.3717300618,31.6979332,-104.2900009,2.064774275,3.660052678,2.164320066,2.561759563,0.03384593502,11.0,6.0,0.1847710591,0.8644223777
41,texnet2022tfxc,Origin/20221108004844.565299.84355,daniel,Western Texas,Origin/20221108004844.565299.84355,2022-10-01 14:32:03.126148+00:00,0.8579922836,31.67831802,-104.1956329,4.45308876,1.645985375,1.114277551,1.465890902,0.05943312123,26.0,13.0,0.1679649208,0.4855184414
42,texnet2022tfxd,Origin/20221108004845.646623.88625,daniel,Western Texas,Origin/20221108004845.646623.88625,2022-10-01 14:33:11.278841+00:00,0.7238605614,31.73248863,-104.4551086,21.11520576,2.310461744,1.952342556,4.412375231,0.02441836149,14.0,8.0,0.4218980725,1.233962289
43,texnet2022tfxf,Origin/20221108004846.045641.90811,daniel,Western Texas,Origin/20221108004846.045641.90811,2022-10-01 14:34:47.404094+00:00,1.093176651,31.66139221,-104.3688354,5.345952988,2.118588255,1.196193246,3.53844145,0.05413868651,21.0,11.0,0.2480123015,0.3241632434
44,texnet2022tfxh,Origin/20221108004859.485701.112447,daniel,Western Texas,Origin/20221108004859.485701.112447,2022-10-01 14:37:33.201558+00:00,0.3061618686,31.65836716,-104.4725342,4.9523139,4.298571886,2.042952178,2.540365407,0.02616536058,10.0,6.0,0.1450694475,0.1776228332
45,texnet2022tfxi,Origin/20221108004859.566033.112650,daniel,Western Texas,Origin/20221108004859.566033.112650,2022-10-01 14:38:45.908463+00:00,0.8540094997,31.739645,-104.1039581,3.526594639,2.853220168,1.287292884,1.540752974,0.0413097851,22.0,11.0,0.221922651,0.381795959
46,texnet2022tfxk,Origin/20221108004911.680342.124623,daniel,Western Texas,Origin/20221108004911.680342.124623,2022-10-01 14:40:53.444595+00:00,1.190428972,31.67181015,-104.1917496,3.78674984,1.61502166,1.111852861,1.470009446,0.06237142161,28.0,16.0,0.2515308646,0.1961524242
47,texnet2022tfxl,Origin/20221108004911.923061.125344,daniel,Western Texas,Origin/20221108004911.923061.125344,2022-10-01 14:41:51.358698+00:00,0.9918125885,31.65315437,-104.1906281,1.237133384,1.653465089,0.9630449028,1.417634278,0.06595813483,28.0,14.0,0.2009387441,0.5634484354
48,texnet2022tfxj,Origin/20221108004911.926831.125362,daniel,Western Texas,Origin/20221108004911.926831.125362,2022-10-01 14:40:07.038863+00:00,0.8224626939,31.73900032,-104.5017014,4.490333557,1.724721765,2.194690548,2.153999481,0.01767838746,11.0,6.0,0.3171832384,0.1985242286
49,texnet2022tfxm,Origin/20221108004912.057236.126143,daniel,Western Texas,Origin/20221108004912.057236.126143,2022-10-01 14:44:00.072773+00:00,0.6452663808,31.4875679,-104.4819336,5.0,4.502989941,4.318357829,fixed,0.1734177917,9.0,5.0,0.2633510109,0.6631817999
50,texnet2022tfxn,Origin/20221108004914.221368.130116,daniel,Western Texas,Origin/20221108004914.221368.130116,2022-10-01 14:44:46.993108+00:00,1.033353456,31.67165947,-104.2050018,5.672208309,1.80114332,1.083693457,3.525720233,0.05107180774,24.0,12.0,0.2615034857,0.4362787959
51,texnet2022tfxq,Origin/20221108004914.234462.130227,daniel,Western Texas,Origin/20221108004914.234462.130227,2022-10-01 14:47:38.150250+00:00,0.4779544345,31.65659904,-104.3697205,3.45812583,3.775238429,1.47021606,2.020638434,0.05313764885,14.0,7.0,0.08178424101,0.2657483289
52,texnet2022tfxr,Origin/20221108004915.491131.132859,daniel,Western Texas,Origin/20221108004915.491131.132859,2022-10-01 14:48:04.348750+00:00,0.9521591317,31.61924934,-104.1193161,2.254644156,1.528454545,1.139559104,1.447787583,0.1008461043,27.0,14.0,0.1499244096,0.3961963386
53,texnet2022tfxs,Origin/20221108004920.783852.144344,daniel,Western Texas,Origin/20221108004920.783852.144344,2022-10-01 14:49:27.533011+00:00,0.3944348266,31.66818619,-104.203537,11.48185825,3.333379475,2.94049958,7.174831205,0.05243434012,7.0,4.0,0.04789983375,0.5146786371
54,texnet2022tfxv,Origin/20221108004925.973235.154255,daniel,Western Texas,Origin/20221108004925.973235.154255,2022-10-01 14:54:00.198037+00:00,0.7072043767,31.57586098,-104.5728683,5.0,5.294186971,6.164236088,fixed,0.1110798493,8.0,5.0,0.7881353133,0.4083655125
55,texnet2022tfxx,Origin/20221108004927.093617.156690,daniel,Western Texas,Origin/20221108004927.093617.156690,2022-10-01 14:56:36.573740+00:00,0.9071147852,31.59254265,-104.2588501,2.952339411,2.129933185,1.340919574,1.572900187,0.07901687175,24.0,13.0,0.1214833522,0.5387987916
56,texnet2022tfya,Origin/20221108004932.884543.165436,daniel,Western Texas,Origin/20221108004932.884543.165436,2022-10-01 14:59:47.185224+00:00,0.2930883004,31.68711853,-104.4905472,5.498538494,1.870609993,2.123737072,4.986048881,0.0203804262,10.0,5.0,0.1540228079,0.146778355
57,texnet2022tfyc,Origin/20221108004936.620483.168766,daniel,Western Texas,Origin/20221108004936.620483.168766,2022-10-01 15:02:28.159124+00:00,0.7463681826,31.67668533,-104.4754791,11.10130501,2.11587664,1.670323659,4.195940308,0.02300765552,15.0,9.0,0.2467628856,0.6583464599
58,texnet2022tfyb,Origin/20221108004936.628289.168815,daniel,Western Texas,Origin/20221108004936.628289.168815,2022-10-01 15:00:44.370225+00:00,1.118513094,31.60030174,-104.1216736,2.760787249,1.799975962,1.205393795,1.51245462,0.08706181496,27.0,15.0,0.1826010498,0.5520516649
59,texnet2022tfyd,Origin/20221108004936.660873.169069,daniel,Western Texas,Origin/20221108004936.660873.169069,2022-10-01 15:03:39.566854+00:00,0.378784165,31.72523689,-104.2796326,0.7398514748,3.717033439,3.385567404,3.884658467,0.03731080517,6.0,4.0,0.3546768983,0.3729898778
60,texnet2022tfyi,Origin/20221108005001.980687.212839,daniel,Western Texas,Origin/20221108005001.980687.212839,2022-10-01 15:09:26.227946+00:00,1.219842008,31.63786507,-103.9013443,3.802738905,2.711403754,4.862139244,2.121281905,0.06362193823,15.0,10.0,0.1671723305,0.3614615585
61,texnet2022tfyj,Origin/20221108004956.893563.205144,daniel,Western Texas,Origin/20221108004956.893563.205144,2022-10-01 15:10:49.551622+00:00,1.469709142,31.60788727,-103.9972687,4.469975471,1.264637314,1.080025477,1.277184899,0.02441827208,34.0,18.0,0.2055784409,0.2891061697
62,texnet2022tfyl,Origin/20221108005006.385405.219615,daniel,Western Texas,Origin/20221108005006.385405.219615,2022-10-01 15:12:10.396493+00:00,0.9397336019,31.6979866,-104.1728134,2.750329494,1.554138547,1.013510631,1.442561816,0.06200355291,26.0,13.0,0.1582652889,0.4628567335
63,texnet2022tfys,Origin/20221108005010.951778.226847,daniel,Western Texas,Origin/20221108005010.951778.226847,2022-10-01 15:20:52.931137+00:00,0.4369682054,31.68195152,-104.4820099,3.851427078,2.901937094,2.380470501,2.558030394,0.02078408562,8.0,5.0,0.3873689935,0.1869102845
64,texnet2022tfyy,Origin/20221108005029.526231.262524,daniel,Western Texas,Origin/20221108005029.526231.262524,2022-10-01 15:27:28.954286+00:00,1.112594924,31.60562706,-104.00383,4.417423725,1.519259549,1.363200363,1.46348855,0.03028169647,26.0,13.0,0.139251396,0.244574259
65,texnet2022tfze,Origin/20221108005042.984885.285332,daniel,Western Texas,Origin/20221108005042.984885.285332,2022-10-01 15:34:20.673833+00:00,0.3322844739,31.68790817,-104.370842,1.996141315,2.714179132,1.3771212,1.912378372,0.06100782007,14.0,7.0,0.2024183534,0.5700644552
66,texnet2022tfzq,Origin/20221108005054.745766.310107,daniel,Western Texas,Origin/20221108005054.745766.310107,2022-10-01 15:48:14.785798+00:00,0.9570020216,31.68172836,-104.4147568,3.86429143,1.559877866,1.200066034,1.603082968,0.0294164829,21.0,11.0,0.2214244352,0.2698142768
67,texnet2022tfzr,Origin/20221108005055.135945.311364,daniel,Western Texas,Origin/20221108005055.135945.311364,2022-10-01 15:49:17.162036+00:00,0.7384519801,31.6637001,-104.4689713,14.54302406,3.345402817,2.271825475,5.212930324,0.02755863592,15.0,10.0,0.1574098196,0.7709151478
68,texnet2022tfzs,Origin/20221108005055.77673.312676,daniel,Western Texas,Origin/20221108005055.77673.312676,2022-10-01 15:50:54.910651+00:00,0.300665383,31.68109512,-104.4859772,5.536524773,2.000788414,1.985678598,4.995237944,0.01769964583,10.0,5.0,0.09829620527,0.1499092636
69,texnet2022tfzt,Origin/20221108005101.497085.325497,daniel,Western Texas,Origin/20221108005101.497085.325497,2022-10-01 15:52:12.502540+00:00,0.2489871306,31.68546295,-104.4846344,7.286000252,1.981061256,1.97249864,4.770689028,0.0216925703,11.0,6.0,0.1959700387,0.3175215501
70,texnet2022tfzx,Origin/20221108005108.531781.339478,daniel,Western Texas,Origin/20221108005108.531781.339478,2022-10-01 15:56:56.994313+00:00,0.2570821075,31.68188286,-104.4245148,4.453983307,1.945592776,1.931538115,2.109608277,0.02640722133,11.0,6.0,0.1615852593,0.1886595747
71,texnet2022tgab,Origin/20221108005121.806533.363157,daniel,Western Texas,Origin/20221108005121.806533.363157,2022-10-01 16:01:37.636125+00:00,0.5205141694,31.71562767,-104.4978638,4.499201775,2.014713643,1.972434577,2.180257743,0.02619412914,10.0,5.0,0.1801669839,0.05295031916
72,texnet2022tgad,Origin/20221108005129.068135.379626,daniel,Western Texas,Origin/20221108005129.068135.379626,2022-10-01 16:04:18.087526+00:00,0.3487772952,31.67308426,-104.456749,9.068814278,2.436905324,1.753673648,4.861461326,0.02698294818,12.0,6.0,0.1747203291,0.5504857722
73,texnet2022tgah,Origin/20221108005132.241405.384584,daniel,Western Texas,Origin/20221108005132.241405.384584,2022-10-01 16:08:45.556125+00:00,0.4735294736,31.70797539,-104.2585373,6.41235733,3.864827,3.451853799,8.431320527,0.0479289107,7.0,4.0,0.2629949229,0.1925328699
74,texnet2022tgag,Origin/20221108005132.94372.386420,daniel,Western Texas,Origin/20221108005132.94372.386420,2022-10-01 16:07:17.828583+00:00,0.3471270661,31.68173027,-104.4645081,3.466303349,2.077889221,1.607664588,2.019734061,0.03355923295,12.0,6.0,0.1716469751,0.4054645159
75,texnet2022tgau,Origin/20221108005146.419971.413315,daniel,Western Texas,Origin/20221108005146.419971.413315,2022-10-01 16:24:13.059201+00:00,0.8523289446,31.57854843,-104.5462875,8.078351021,7.289242529,5.764854814,9.519136529,0.09785202891,19.0,9.0,0.16691649,0.7599726249
76,texnet2022tgaw,Origin/20221108005146.603734.414164,daniel,Western Texas,Origin/20221108005146.603734.414164,2022-10-01 16:25:58.881108+00:00,1.083863072,31.66536522,-104.3717804,3.821126461,2.085655622,1.079201203,1.586895733,0.05218547583,23.0,12.0,0.191793638,0.2217919849
77,texnet2022tgay,Origin/20221108005146.869332.415419,daniel,Western Texas,Origin/20221108005146.869332.415419,2022-10-01 16:28:27.948331+00:00,0.399602863,31.66681862,-104.3714676,4.021321774,3.900736832,1.54970469,2.076102858,0.05271982402,12.0,7.0,0.0648792248,0.2150295045
78,texnet2022tgbc,Origin/20221108005147.689305.417775,daniel,Western Texas,Origin/20221108005147.689305.417775,2022-10-01 16:32:46.445673+00:00,1.007534379,31.65653229,-104.1823349,3.947529078,1.520547718,0.9726677093,1.375766627,0.07199543715,30.0,15.0,0.1700913495,0.2695648525
79,texnet2022tgbd,Origin/20221108005147.793032.418102,daniel,Western Texas,Origin/20221108005147.793032.418102,2022-10-01 16:34:45.209694+00:00,0.9871154755,31.73058319,-104.0338593,0.4644876122,9.090552118,4.925712518,4.017579075,0.1897399575,8.0,5.0,0.4609225216,0.679965756
80,texnet2022tgbf,Origin/20221108005148.628738.420425,daniel,Western Texas,Origin/20221108005148.628738.420425,2022-10-01 16:36:00.874833+00:00,0.7197710298,31.66641808,-104.191124,2.741923094,2.613659294,1.486061263,1.943862804,0.06312070042,15.0,8.0,0.1326376014,0.2042874445
81,texnet2022tgbj,Origin/20221108005156.90341.438238,daniel,Western Texas,Origin/20221108005156.90341.438238,2022-10-01 16:40:54.209252+00:00,1.984273816,31.5975666,-104.4009552,71.61332703,9.751488205,5.438108914,7.851058655,0.06417319179,15.0,12.0,0.3791461954,1.022735484
82,texnet2022tgbl,Origin/20221108005156.951992.438406,daniel,Western Texas,Origin/20221108005156.951992.438406,2022-10-01 16:43:56.479287+00:00,0.8534056149,31.68397141,-104.4748764,8.810095787,1.957415027,1.895356366,4.792053583,0.02685210854,12.0,6.0,0.1952283252,0.5550795039
83,texnet2022tgbo,Origin/20221108005156.983049.438535,daniel,Western Texas,Origin/20221108005156.983049.438535,2022-10-01 16:47:30.786964+00:00,1.164800671,31.72159386,-104.0956192,4.215453148,7.084671463,1.625518056,2.496369682,0.03011579253,8.0,4.0,0.1035946338,0.1983658659
84,texnet2022tgbq,Origin/20221108005159.788339.442326,daniel,Western Texas,Origin/20221108005159.788339.442326,2022-10-01 16:48:56.345433+00:00,1.612515484,31.67505455,-104.2000961,3.918473244,1.565578556,0.8724492906,1.281198687,0.05535893142,34.0,17.0,0.1970872416,0.2092206883
85,texnet2022tgbs,Origin/20221108005200.055376.443384,daniel,Western Texas,Origin/20221108005200.055376.443384,2022-10-01 16:51:08.409513+00:00,1.077631902,31.67222977,-104.1935425,2.859362364,2.402914237,1.511821655,1.982897591,0.06084525585,15.0,9.0,0.2307441382,0.1915466957
86,texnet2022tgbw,Origin/20221108005206.342284.455956,daniel,Western Texas,Origin/20221108005206.342284.455956,2022-10-01 16:56:03.806914+00:00,0.7554174114,31.55553436,-104.2040558,1.884061098,4.651618241,2.821338921,3.10660418,0.1268514842,13.0,7.0,0.105883532,0.4484878295
87,texnet2022tgby,Origin/20221108005208.30482.459775,daniel,Western Texas,Origin/20221108005208.30482.459775,2022-10-01 16:59:16.071486+00:00,0.3766500533,31.69140816,-104.4023361,7.443694592,1.963127038,1.499198541,4.161161804,0.04328970984,16.0,8.0,0.0786863435,0.661777125
88,texnet2022tgca,Origin/20221108005208.343136.460089,daniel,Western Texas,Origin/20221108005208.343136.460089,2022-10-01 17:01:04.793109+00:00,1.252347519,31.48717308,-103.8724136,5.0,4.862089815,6.983327083,fixed,0.1164579391,7.0,5.0,0.4357574188,0.7800562719
89,texnet2022tgcb,Origin/20221108005208.412418.460407,daniel,Western Texas,Origin/20221108005208.412418.460407,2022-10-01 17:02:24.990904+00:00,0.6560357209,31.62392616,-104.3670349,4.171350002,7.455578286,2.429631174,3.357028159,0.0640905425,13.0,7.0,0.05275357231,0.1729650203
90,texnet2022tgcf,Origin/20221108005547.78756.48663,daniel,Western Texas,Origin/20221108005547.78756.48663,2022-10-01 17:06:53.603417+00:00,0.7433783952,31.61469078,-104.1963501,9.277380943,4.519359905,3.456428294,5.461010846,0.08149141818,13.0,7.0,0.2885730446,0.7664040323
91,texnet2022tgtl,Origin/20221108011439.973955.60140,daniel,Western Texas,Origin/20221108011439.973955.60140,2022-10-02 01:48:59.875916+00:00,0.3520716382,31.702034,-104.3608322,2.242531776,9.105100489,3.994690948,4.222380934,0.06250479072,6.0,4.0,0.1375167923,0.2257715386
92,texnet2022tgtm,Origin/20221108011445.716296.73433,daniel,Western Texas,Origin/20221108011445.716296.73433,2022-10-02 01:50:34.367416+00:00,0.2920835516,31.67352295,-104.3870239,4.604055405,2.845379373,1.55410541,2.208575277,0.04208890349,11.0,6.0,0.1355771401,0.1619145582
93,texnet2022tgtp,Origin/20221108011445.858498.73953,daniel,Western Texas,Origin/20221108011445.858498.73953,2022-10-02 01:53:25.242589+00:00,0.5483998116,31.76021004,-104.3863983,3.657602549,1.925187458,1.772385676,1.920230006,0.04581816494,15.0,8.0,0.148812615,0.1012094286
94,texnet2022tgtn,Origin/20221108011445.939604.74259,daniel,Western Texas,Origin/20221108011445.939604.74259,2022-10-02 01:51:45.851310+00:00,0.3385989032,31.59064865,-104.4352264,6.062248707,14.27009584,3.858857031,15.1286425,0.06539624929,9.0,5.0,0.1191469608,0.3095194142
